INFO  - 2013-06-04 20:53:38.369; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2013-06-04 20:53:38.370; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/extraction/lib/tika-core-1.3.jar' to classloader
INFO  - 2013-06-04 20:53:38.370; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/extraction/lib/tika-parsers-1.3.jar' to classloader
INFO  - 2013-06-04 20:53:38.371; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-06-04 20:53:38.372; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-06-04 20:53:38.372; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-06-04 20:53:38.373; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-06-04 20:53:38.374; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2013-06-04 20:53:38.385; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/dist/solr-cell-4.3.0.jar' to classloader
INFO  - 2013-06-04 20:53:38.387; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/clustering/lib/attributes-binder-1.0.1.jar' to classloader
INFO  - 2013-06-04 20:53:38.387; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/clustering/lib/carrot2-mini-3.6.2.jar' to classloader
INFO  - 2013-06-04 20:53:38.388; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/clustering/lib/hppc-0.4.1.jar' to classloader
INFO  - 2013-06-04 20:53:38.388; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-06-04 20:53:38.389; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/tailblues/progs/solrwork/solr-4.3.0/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
